date, new_cases, new_deaths
2020-02-05, 10, 0
2020-02-06, 10, 0
2020-02-07, 41, 0
2020-02-08, 3, 0
2020-02-09, 6, 0
2020-02-10, 65, 0
2020-02-11, 0, 0
2020-02-12, 39, 0
2020-02-13, 44, 0
2020-02-14, 0, 0
2020-02-15, 67, 0
2020-02-16, 70, 0
2020-02-17, 99, 0
2020-02-18, 98, 0
2020-02-19, 79, 0
2020-02-20, 13, 2
2020-02-21, 0, 0
2020-02-22, 0, 0
2020-02-23, 0, 1
2020-02-24, 0, 0
2020-02-25, 0, 1
2020-02-26, 71, 0
2020-02-27, 0, 0
2020-02-28, 0, 2
2020-02-29, 0, 0
2020-03-01, 0, 1
2020-03-02, 0, 0
2020-03-03, 0, 0
2020-03-04, 0, 0
2020-03-05, 0, 0


